Name,Branch,Field of Interest,Domain of Interest,Languages Known,Frameworks Used,Tools Experience,Technologies to Learn,Project Duration,Open-Source Contribution,Achievements
Christina Lewis,Biotechnology,"['data visualization', 'AR/VR']","['game development', 'IoT', 'bioinformatics']","['R', 'Shell Scripting', 'Java']","['Express.js', 'NestJS', 'React Native']","['Kubernetes', 'Elasticsearch']","['AWS', 'MongoDB', 'Redis']",2 months,Contributed to XYZ project,No achievements
Tara Ramos,Biotechnology,"['web app development', 'IoT']","['data science and analytics', 'robotics', 'bioinformatics']","['TypeScript', 'Python', 'Dart', 'Go', 'Shell Scripting']","['Laravel', 'Ember.js']","['Ansible', 'Kubernetes', 'Jenkins']","['GitHub', 'GitLab', 'MongoDB']",2 months,Contributed to XYZ project,No achievements
Jimmy Smith,Electronics and Communication,"['IoT', 'natural language processing', 'reinforcement learning']",['game development'],"['Swift', 'Go', 'Objective-C', 'Kotlin']",['NestJS'],"['TensorFlow', 'TensorFlow']",['Git'],1 week,Contributed to XYZ project,Awarded XYZ in Electronics and Communication
Jonathan Collins,Information Technology,"['data engineering', 'embedded systems']",['game development'],['JavaScript'],"['Meteor', 'Ruby on Rails', 'Blitz.js', 'Svelte']","['Kubernetes', 'AWS', 'Git', 'PyTorch']","['AWS', 'GitLab', 'Google Cloud', 'MySQL']",1 month,Contributed to XYZ project,Awarded XYZ in Information Technology
John Bonilla,Civil Engineering,"['generative AI', 'robotics', 'system architecture']","['game development', 'quantum computing', 'blockchain']",['Swift'],"['Ionic', 'Laravel', 'Vue.js']",['Docker'],['Git'],1 month,No open-source contribution,No achievements
Joshua Castillo,Biotechnology,"['reinforcement learning', 'computational theory']","['cybersecurity', 'artificial intelligence and machine learning', 'IoT']",['Swift'],"['Flask', 'Django', 'Angular', 'Ionic']","['PostgreSQL', 'Keras', 'Git', 'Azure']",['Azure'],1 month,Contributed to XYZ project,No achievements
Carl Holt,Information Technology,['computational biology'],"['game development', 'robotics', 'web and mobile development']","['Dart', 'JavaScript', 'Lua', 'Java', 'Kotlin']","['Spring Boot', 'Ruby on Rails', 'Flask']",['MongoDB'],"['Kubernetes', 'PostgreSQL', 'TensorFlow']",1 week,Contributed to XYZ project,No achievements
Ryan Jimenez,Electrical Engineering,"['distributed systems', 'embedded systems']","['game development', 'quantum computing', 'robotics']","['TypeScript', 'Lua', 'Java', 'R']","['Spring Boot', 'Svelte']","['Google Cloud', 'MongoDB', 'GitLab', 'MySQL']","['MongoDB', 'TensorFlow']",1 month,Contributed to XYZ project,No achievements
Jeffrey Guzman,Electronics and Communication,"['network engineering', 'cryptography']",['web and mobile development'],"['SQL', 'Java', 'C']","['Django', 'React Native']",['Redis'],['Ansible'],1 week,Contributed to XYZ project,Awarded XYZ in Electronics and Communication
Robert Doyle,Electrical Engineering,['edge computing'],['artificial intelligence and machine learning'],"['C', 'Python', 'C++']","['Next.js', 'Flask']","['Azure', 'Docker', 'PyTorch']","['MongoDB', 'TensorFlow', 'PostgreSQL', 'AWS']",1 month,Contributed to XYZ project,No achievements
Joshua Rodriguez,Computer Science,['network engineering'],"['robotics', 'quantum computing']",['Go'],"['Django', 'Express.js', 'React', 'Next.js']","['AWS', 'Jenkins', 'GitHub']","['TensorFlow', 'GitHub', 'MySQL', 'Redis']",1 week,No open-source contribution,No achievements
Jennifer Lang,Biotechnology,"['IoT', 'data visualization']","['bioinformatics', 'artificial intelligence and machine learning', 'data science and analytics']","['TypeScript', 'Go', 'C#', 'JavaScript', 'C']","['Vue.js', 'Spring Boot', 'Ruby on Rails', 'Ember.js']","['Elasticsearch', 'Jenkins']","['GitHub', 'PostgreSQL']",2 months,Contributed to XYZ project,No achievements
Ronald Soto DVM,Biotechnology,"['data visualization', 'computer architecture', 'quantum computing']",['robotics'],"['MATLAB', 'Shell Scripting', 'C++', 'Go', 'Java']",['Flask'],['Elasticsearch'],['Jenkins'],1 month,Contributed to XYZ project,No achievements
Eric Wood,Information Technology,"['big data', 'data science']","['artificial intelligence and machine learning', 'cybersecurity', 'quantum computing']","['Scala', 'TypeScript', 'R']","['Spring Boot', 'Ionic', 'Flask', 'Angular']","['AWS', 'Ansible', 'Redis', 'MySQL']",['Keras'],1 week,No open-source contribution,Awarded XYZ in Information Technology
Matthew Simon,Computer Science,"['bioinformatics', 'data visualization', 'human-computer interaction']","['cybersecurity', 'web and mobile development', 'IoT']","['TypeScript', 'Scala', 'Shell Scripting', 'PHP', 'MATLAB']","['Blitz.js', 'Spring Boot', 'Angular']","['Kubernetes', 'Git']",['Git'],1 month,No open-source contribution,No achievements
Nathan Henderson,Information Technology,"['data engineering', 'software engineering', 'computational theory']","['human-computer interaction', 'web and mobile development']","['Java', 'Python', 'R', 'Ruby', 'Rust']","['Flask', 'React Native', 'Meteor', 'Ruby on Rails']","['Keras', 'Docker', 'GitHub']","['TensorFlow', 'Jenkins', 'AWS', 'Google Cloud']",2 months,Contributed to XYZ project,No achievements
Kristen Davis,Computer Science,"['business intelligence', 'parallel computing', 'network engineering']","['blockchain', 'artificial intelligence and machine learning']",['Go'],"['Flutter', 'Django', 'Express.js']",['Ansible'],['MySQL'],2 months,Contributed to XYZ project,Awarded XYZ in Computer Science
Miranda Martin,Electrical Engineering,['robotics'],"['cybersecurity', 'IoT', 'data science and analytics']","['MATLAB', 'Swift', 'C', 'Dart']",['Next.js'],"['Docker', 'TensorFlow']",['Docker'],2 months,No open-source contribution,No achievements
Mr. Jonathon Marshall,Civil Engineering,['system architecture'],"['robotics', 'web and mobile development']","['Objective-C', 'C++']","['Flask', 'NestJS']",['TensorFlow'],"['AWS', 'GitHub', 'TensorFlow', 'GitLab']",1 week,Contributed to XYZ project,No achievements
Christopher Williams,Electrical Engineering,['data science'],"['cybersecurity', 'game development']","['Ruby', 'JavaScript', 'Rust', 'C#', 'Dart']","['Django', 'Express.js', 'Laravel', 'Next.js']",['TensorFlow'],"['PyTorch', 'TensorFlow', 'TensorFlow', 'Docker']",1 week,No open-source contribution,No achievements
Mr. Adam Johnson,Computer Science,"['distributed systems', 'embedded systems']","['blockchain', 'artificial intelligence and machine learning']","['Ruby', 'SQL', 'Python']","['NestJS', 'Svelte', 'Angular']","['MongoDB', 'Redis']",['Elasticsearch'],1 week,No open-source contribution,No achievements
Samantha Wells,Biotechnology,"['edge computing', 'business intelligence']","['robotics', 'bioinformatics']",['SQL'],"['Ruby on Rails', 'Svelte', 'React']","['MySQL', 'Ansible', 'Jenkins', 'AWS']","['Docker', 'MongoDB', 'Azure']",2 months,Contributed to XYZ project,No achievements
Alicia Wu,Electrical Engineering,"['cryptography', 'software engineering']","['IoT', 'cybersecurity']",['C'],"['NestJS', 'Laravel', 'Flutter', 'Spring Boot']","['Google Cloud', 'Keras', 'Ansible']","['Google Cloud', 'Keras', 'Kubernetes']",1 week,Contributed to XYZ project,No achievements
Melissa Nguyen,Electronics and Communication,"['deep learning', 'machine learning', 'business intelligence']","['data science and analytics', 'web and mobile development', 'human-computer interaction']","['Ruby', 'C++', 'Swift', 'R', 'JavaScript']","['Svelte', 'Vue.js']","['Kubernetes', 'PyTorch']","['Keras', 'Azure']",1 week,No open-source contribution,No achievements
Angela Summers,Mechanical Engineering,"['computer vision', 'big data', 'IoT']","['data science and analytics', 'cybersecurity', 'game development']","['JavaScript', 'Scala', 'TypeScript', 'Dart', 'C++']","['React', 'Express.js']","['Git', 'TensorFlow', 'Docker', 'MongoDB']","['AWS', 'TensorFlow', 'Google Cloud']",1 week,Contributed to XYZ project,No achievements
Christopher Contreras,Biotechnology,['machine learning'],['web and mobile development'],"['Lua', 'SQL']","['React', 'Next.js', 'Svelte', 'Laravel']",['Google Cloud'],"['Kubernetes', 'Jenkins', 'GitHub', 'PyTorch']",1 week,No open-source contribution,No achievements
Kayla Russell MD,Electronics and Communication,"['bioinformatics', 'data science']","['artificial intelligence and machine learning', 'data science and analytics', 'bioinformatics']","['Lua', 'Rust', 'PHP']","['Svelte', 'React Native', 'Ember.js', 'NestJS']",['TensorFlow'],"['GitHub', 'Google Cloud', 'AWS']",2 months,Contributed to XYZ project,No achievements
Mary Payne,Electrical Engineering,"['business intelligence', 'edge computing']","['human-computer interaction', 'robotics']","['Python', 'MATLAB', 'C', 'C#', 'Rust']","['Ruby on Rails', 'React Native', 'Ionic']","['Azure', 'Redis', 'MongoDB', 'Jenkins']","['Google Cloud', 'GitHub', 'TensorFlow']",2 months,No open-source contribution,Awarded XYZ in Electrical Engineering
Shane Freeman,Civil Engineering,"['deep learning', 'software engineering', 'blockchain']","['IoT', 'data science and analytics']","['Rust', 'JavaScript', 'Go']","['Svelte', 'Blitz.js', 'NestJS', 'React']","['Docker', 'MySQL']","['Kubernetes', 'Ansible']",1 month,Contributed to XYZ project,No achievements
Brian Fowler,Computer Science,['IoT'],['blockchain'],"['C#', 'Java']","['Flutter', 'Express.js', 'Vue.js', 'Blitz.js']",['Git'],"['AWS', 'Jenkins', 'Keras']",2 months,Contributed to XYZ project,Awarded XYZ in Computer Science
Taylor Bean,Computer Science,"['deep learning', 'generative AI', 'digital signal processing']",['blockchain'],"['Kotlin', 'PHP', 'Python', 'Dart', 'Ruby']","['NestJS', 'React Native', 'Ionic', 'Svelte']","['Kubernetes', 'TensorFlow', 'Google Cloud']","['GitLab', 'Google Cloud', 'Kubernetes', 'Jenkins']",1 month,Contributed to XYZ project,No achievements
Austin Steele,Civil Engineering,"['big data', 'digital signal processing']","['web and mobile development', 'blockchain']",['Swift'],['React Native'],['PostgreSQL'],"['Jenkins', 'AWS', 'GitHub']",2 months,No open-source contribution,No achievements
Erin Santiago,Civil Engineering,"['software engineering', 'algorithms']",['web and mobile development'],"['MATLAB', 'SQL', 'Shell Scripting']",['Meteor'],"['Azure', 'Docker', 'Git']","['PyTorch', 'Jenkins', 'MySQL', 'Elasticsearch']",2 months,Contributed to XYZ project,No achievements
Bradley Randolph,Computer Science,"['computational biology', 'algorithms', 'robotics']","['bioinformatics', 'data science and analytics']","['Objective-C', 'C', 'Ruby', 'Java', 'TypeScript']","['React Native', 'Blitz.js']","['AWS', 'Ansible']","['PostgreSQL', 'Azure', 'GitHub', 'TensorFlow']",2 months,No open-source contribution,No achievements
Joseph Cook,Biotechnology,['bioinformatics'],['blockchain'],"['Lua', 'SQL', 'JavaScript', 'Objective-C', 'C++']","['Ember.js', 'Next.js', 'Vue.js']",['Kubernetes'],"['Docker', 'Redis']",1 week,Contributed to XYZ project,No achievements
Jill Henry,Mechanical Engineering,"['artificial intelligence', 'edge computing']",['human-computer interaction'],"['Go', 'Objective-C', 'Shell Scripting', 'Rust', 'R']",['Svelte'],['TensorFlow'],"['MySQL', 'Jenkins']",1 month,No open-source contribution,No achievements
Emily Welch,Biotechnology,['parallel computing'],['blockchain'],"['Lua', 'C#', 'Objective-C', 'Swift', 'MATLAB']","['Svelte', 'Ionic', 'Next.js', 'Django']","['Git', 'GitHub']","['Google Cloud', 'PyTorch', 'MongoDB', 'AWS']",1 week,No open-source contribution,No achievements
Alexis Hutchinson,Mechanical Engineering,"['embedded systems', 'parallel computing']","['robotics', 'quantum computing', 'bioinformatics']","['Lua', 'Shell Scripting', 'Python', 'Java']",['Ionic'],"['Keras', 'Google Cloud', 'Kubernetes', 'Docker']",['TensorFlow'],1 month,Contributed to XYZ project,No achievements
Tammy Payne,Mechanical Engineering,"['big data', 'deep learning', 'AR/VR']","['human-computer interaction', 'artificial intelligence and machine learning', 'bioinformatics']","['TypeScript', 'Java', 'Rust']",['Meteor'],"['GitLab', 'MySQL', 'Jenkins', 'TensorFlow']","['PyTorch', 'GitHub']",1 month,Contributed to XYZ project,No achievements
Kelly Rivera,Computer Science,"['data visualization', 'cloud security']","['data science and analytics', 'IoT', 'web and mobile development']","['SQL', 'Python', 'R', 'Java', 'Kotlin']",['Flask'],"['Google Cloud', 'Jenkins']","['GitLab', 'Elasticsearch', 'Jenkins', 'Git']",2 months,Contributed to XYZ project,No achievements
Jessica Cordova,Information Technology,"['business intelligence', 'digital signal processing', 'computational theory']",['human-computer interaction'],"['Lua', 'Objective-C', 'Java', 'C++', 'TypeScript']","['Express.js', 'Flask']","['Docker', 'Elasticsearch']","['Kubernetes', 'Jenkins']",2 months,No open-source contribution,No achievements
Jessica Tapia,Mechanical Engineering,['bioinformatics'],"['data science and analytics', 'cybersecurity', 'quantum computing']","['Objective-C', 'Java', 'SQL']","['Ruby on Rails', 'Django', 'Svelte', 'Spring Boot']","['GitLab', 'Google Cloud', 'PostgreSQL']",['TensorFlow'],1 month,Contributed to XYZ project,No achievements
Joanne Berry,Information Technology,['artificial intelligence'],['web and mobile development'],"['Swift', 'Ruby']","['Angular', 'Ruby on Rails', 'React Native', 'Blitz.js']","['Redis', 'AWS', 'Ansible']","['Ansible', 'GitHub', 'PyTorch', 'MongoDB']",1 week,No open-source contribution,No achievements
Anna Torres,Information Technology,['system architecture'],"['game development', 'data science and analytics']","['MATLAB', 'Lua', 'C']","['Meteor', 'Svelte', 'Angular']","['Git', 'Azure', 'Elasticsearch', 'Keras']","['AWS', 'Git']",1 week,Contributed to XYZ project,Awarded XYZ in Information Technology
Melissa Johnson,Biotechnology,"['game development', 'distributed systems']","['bioinformatics', 'web and mobile development']","['Python', 'Shell Scripting']","['Django', 'React', 'Vue.js', 'Angular']","['Ansible', 'Kubernetes', 'Google Cloud']","['GitLab', 'MySQL', 'Azure', 'GitHub']",1 week,No open-source contribution,Awarded XYZ in Biotechnology
Jason Wong,Mechanical Engineering,['data science'],['cybersecurity'],['JavaScript'],"['Next.js', 'Ember.js']",['TensorFlow'],"['Docker', 'Git', 'GitHub']",1 week,Contributed to XYZ project,No achievements
Melissa Buckley,Mechanical Engineering,"['computer architecture', 'deep learning', 'computational theory']",['quantum computing'],"['Swift', 'Scala', 'Go']","['Spring Boot', 'Svelte', 'Ember.js']","['MongoDB', 'Jenkins']","['Git', 'Keras', 'AWS']",1 week,No open-source contribution,Awarded XYZ in Mechanical Engineering
Danielle Larson,Mechanical Engineering,"['blockchain', 'reinforcement learning']","['blockchain', 'IoT', 'artificial intelligence and machine learning']","['R', 'Dart', 'Go', 'Kotlin', 'SQL']",['Laravel'],"['Kubernetes', 'TensorFlow', 'Google Cloud']","['Ansible', 'MongoDB', 'TensorFlow', 'Kubernetes']",1 month,Contributed to XYZ project,No achievements
Ryan Blair,Electronics and Communication,"['computer architecture', 'generative AI']","['blockchain', 'artificial intelligence and machine learning', 'cybersecurity']","['Swift', 'TypeScript', 'Lua', 'R', 'C']",['React'],['Azure'],"['PostgreSQL', 'Docker', 'MySQL', 'Ansible']",1 month,Contributed to XYZ project,No achievements
Rebecca Ramirez,Electronics and Communication,"['natural language processing', 'digital signal processing', 'web app development']","['IoT', 'data science and analytics']","['Java', 'MATLAB', 'C#']",['Ember.js'],"['Redis', 'Ansible', 'PyTorch']","['Azure', 'GitHub']",2 months,No open-source contribution,No achievements
Deborah Thompson,Biotechnology,['mobile app development'],"['IoT', 'cybersecurity', 'data science and analytics']","['MATLAB', 'Python']","['Next.js', 'Svelte']","['Elasticsearch', 'PostgreSQL', 'Kubernetes']","['Kubernetes', 'TensorFlow']",1 month,Contributed to XYZ project,No achievements
Barbara Smith,Information Technology,"['DevOps', 'data visualization', 'system architecture']","['data science and analytics', 'artificial intelligence and machine learning', 'robotics']",['Ruby'],"['Angular', 'NestJS', 'Django']","['Azure', 'Ansible', 'TensorFlow', 'MySQL']","['PyTorch', 'MongoDB']",1 week,Contributed to XYZ project,No achievements
Carl Hall,Computer Science,"['game development', 'computational theory', 'machine learning']",['robotics'],"['Shell Scripting', 'Java', 'PHP']","['Angular', 'Blitz.js', 'Ember.js', 'Ruby on Rails']","['Redis', 'Google Cloud', 'TensorFlow']","['GitHub', 'Git']",1 week,No open-source contribution,No achievements
Kelly Solis,Electronics and Communication,"['ethical hacking', 'artificial intelligence']","['artificial intelligence and machine learning', 'cybersecurity', 'data science and analytics']",['Ruby'],"['Meteor', 'Ember.js', 'Vue.js', 'React']","['Keras', 'Ansible', 'MySQL']",['Redis'],2 months,No open-source contribution,No achievements
Donald Roman,Information Technology,['data visualization'],['cybersecurity'],"['Swift', 'C', 'C#', 'SQL', 'Scala']",['Express.js'],['TensorFlow'],"['Elasticsearch', 'Docker']",1 month,Contributed to XYZ project,No achievements
John Greer,Biotechnology,['IoT'],"['bioinformatics', 'quantum computing', 'artificial intelligence and machine learning']","['Dart', 'Lua', 'Python', 'TypeScript']","['Meteor', 'Angular', 'Flask']","['Ansible', 'AWS', 'MongoDB']",['MySQL'],2 months,No open-source contribution,No achievements
Raymond Wood,Information Technology,"['DevOps', 'AR/VR', 'mobile app development']","['quantum computing', 'game development']",['TypeScript'],"['Ember.js', 'Flutter', 'Flask', 'Django']","['PostgreSQL', 'GitHub', 'Jenkins', 'TensorFlow']","['PostgreSQL', 'TensorFlow', 'Keras']",2 months,No open-source contribution,No achievements
William Dalton,Biotechnology,"['parallel computing', 'quantum computing']","['data science and analytics', 'game development']","['C', 'MATLAB', 'PHP']","['NestJS', 'Ionic']","['GitLab', 'Azure', 'TensorFlow', 'Docker']",['Docker'],1 month,Contributed to XYZ project,No achievements
Jasmine Hernandez,Computer Science,"['computational theory', 'network engineering', 'ethical hacking']","['quantum computing', 'data science and analytics']","['JavaScript', 'Kotlin', 'Python', 'C', 'TypeScript']","['Express.js', 'Spring Boot', 'Nuxt.js']","['AWS', 'PostgreSQL', 'GitHub']","['Elasticsearch', 'Git', 'MySQL']",1 month,No open-source contribution,Awarded XYZ in Computer Science
James Butler,Mechanical Engineering,['edge computing'],"['blockchain', 'web and mobile development']","['Scala', 'SQL']","['React', 'Express.js', 'Svelte', 'Angular']","['Google Cloud', 'PostgreSQL', 'Kubernetes']","['Git', 'Azure']",1 month,Contributed to XYZ project,No achievements
Sarah Price,Information Technology,"['IoT', 'AR/VR', 'business intelligence']",['quantum computing'],"['Shell Scripting', 'Scala']","['Angular', 'Express.js', 'React Native']","['TensorFlow', 'Google Cloud', 'PyTorch']",['Elasticsearch'],1 month,Contributed to XYZ project,No achievements
Jessica Holt,Electrical Engineering,['computational biology'],"['quantum computing', 'data science and analytics', 'human-computer interaction']","['C', 'SQL', 'Ruby', 'Shell Scripting']","['Next.js', 'Ember.js', 'Ruby on Rails']",['TensorFlow'],"['TensorFlow', 'Docker', 'MongoDB']",1 month,Contributed to XYZ project,No achievements
Allen Mack,Biotechnology,"['network engineering', 'machine learning']",['quantum computing'],"['PHP', 'Scala']","['Nuxt.js', 'Vue.js']","['TensorFlow', 'Docker', 'Azure', 'Redis']","['GitLab', 'Keras']",1 month,No open-source contribution,No achievements
Paula Davis,Mechanical Engineering,['IoT'],"['robotics', 'web and mobile development']",['Lua'],"['React Native', 'Express.js']","['Redis', 'GitHub']","['PostgreSQL', 'Kubernetes']",2 months,Contributed to XYZ project,No achievements
Kendra Perez,Biotechnology,"['computer architecture', 'cloud security']",['human-computer interaction'],"['Java', 'Lua', 'Ruby']","['React', 'Blitz.js', 'Flutter']","['AWS', 'Jenkins', 'MySQL']","['AWS', 'PostgreSQL', 'GitHub', 'Docker']",1 month,No open-source contribution,No achievements
Joshua Lawrence,Civil Engineering,"['data science', 'artificial intelligence']",['cybersecurity'],"['Python', 'Scala']",['Flask'],"['Docker', 'GitLab', 'GitHub']","['TensorFlow', 'Azure', 'MySQL']",2 months,Contributed to XYZ project,No achievements
Ryan Bates,Biotechnology,['computer vision'],"['data science and analytics', 'cybersecurity', 'human-computer interaction']","['R', 'Python', 'Java']","['Blitz.js', 'Flask']","['Kubernetes', 'Redis', 'Azure']","['Git', 'TensorFlow', 'Google Cloud']",2 months,Contributed to XYZ project,No achievements
Dean Wood,Computer Science,"['artificial intelligence', 'business intelligence']","['blockchain', 'artificial intelligence and machine learning', 'human-computer interaction']","['Dart', 'C++']","['Next.js', 'Vue.js']","['Git', 'Ansible', 'AWS', 'MySQL']","['MongoDB', 'Elasticsearch', 'TensorFlow', 'Docker']",1 week,Contributed to XYZ project,No achievements
Mark Vang,Information Technology,['machine learning'],"['game development', 'quantum computing']","['R', 'Objective-C', 'TypeScript', 'Lua', 'Kotlin']","['Flask', 'Angular', 'Vue.js', 'Nuxt.js']","['GitLab', 'GitHub']",['GitLab'],1 month,Contributed to XYZ project,Awarded XYZ in Information Technology
Cassandra Jenkins,Computer Science,"['system architecture', 'AR/VR', 'reinforcement learning']",['artificial intelligence and machine learning'],['Go'],['Angular'],"['MySQL', 'Docker', 'TensorFlow']","['Google Cloud', 'PyTorch']",1 week,Contributed to XYZ project,Awarded XYZ in Computer Science
Stephen Lowery,Electrical Engineering,"['computational biology', 'deep learning']",['human-computer interaction'],"['Lua', 'Swift', 'SQL']",['Spring Boot'],"['TensorFlow', 'Azure']","['GitHub', 'Redis', 'Google Cloud', 'GitLab']",1 month,No open-source contribution,No achievements
Alexandra Graham,Electrical Engineering,"['cloud security', 'distributed systems']",['IoT'],"['Go', 'Java']","['Laravel', 'Flutter', 'Spring Boot', 'Ruby on Rails']",['TensorFlow'],['TensorFlow'],2 months,Contributed to XYZ project,No achievements
Brooke Rice,Electrical Engineering,['generative AI'],"['robotics', 'artificial intelligence and machine learning']","['Shell Scripting', 'Lua', 'JavaScript', 'Go', 'PHP']","['Django', 'Angular', 'Laravel', 'Next.js']",['MySQL'],"['PostgreSQL', 'AWS', 'MongoDB']",1 week,Contributed to XYZ project,Awarded XYZ in Electrical Engineering
Johnny Randolph,Information Technology,['web app development'],"['IoT', 'artificial intelligence and machine learning', 'cybersecurity']","['Swift', 'Python', 'JavaScript']","['Django', 'React Native', 'Ruby on Rails']","['PyTorch', 'Elasticsearch', 'Docker']","['Jenkins', 'Docker']",2 months,No open-source contribution,No achievements
Desiree Garcia,Computer Science,"['digital signal processing', 'computer architecture', 'cloud security']",['quantum computing'],"['PHP', 'C#', 'Dart', 'Scala']","['Angular', 'Flask', 'NestJS']","['PyTorch', 'Git', 'AWS', 'GitLab']",['AWS'],1 week,No open-source contribution,Awarded XYZ in Computer Science
Mark Coleman,Electronics and Communication,['autonomous systems'],"['robotics', 'blockchain']",['Java'],"['Angular', 'Ember.js']","['PyTorch', 'GitLab', 'Keras', 'Docker']",['Redis'],1 month,Contributed to XYZ project,No achievements
Jason Tran,Electrical Engineering,['blockchain'],"['human-computer interaction', 'web and mobile development']","['Kotlin', 'TypeScript', 'Lua']","['Laravel', 'Angular', 'Meteor', 'Blitz.js']","['GitLab', 'TensorFlow']","['Jenkins', 'MongoDB', 'Google Cloud']",1 month,No open-source contribution,No achievements
Timothy Cummings,Information Technology,"['DevOps', 'reinforcement learning', 'robotics']","['bioinformatics', 'cybersecurity', 'quantum computing']","['Go', 'MATLAB', 'Lua']",['Svelte'],['MySQL'],"['PostgreSQL', 'Azure', 'GitLab', 'Google Cloud']",1 month,Contributed to XYZ project,No achievements
Mark Fitzpatrick,Mechanical Engineering,['digital signal processing'],"['robotics', 'bioinformatics', 'human-computer interaction']","['R', 'MATLAB', 'SQL', 'Kotlin']",['Meteor'],"['Ansible', 'Azure', 'Elasticsearch']",['MySQL'],1 week,No open-source contribution,No achievements
Suzanne Ford,Information Technology,['network engineering'],"['IoT', 'artificial intelligence and machine learning', 'robotics']","['Go', 'TypeScript', 'R']",['Flask'],"['Kubernetes', 'PostgreSQL', 'Keras']",['TensorFlow'],1 month,No open-source contribution,No achievements
Richard Liu,Biotechnology,['game development'],"['artificial intelligence and machine learning', 'quantum computing', 'bioinformatics']","['PHP', 'Python']","['Angular', 'React Native', 'Meteor', 'Blitz.js']","['GitLab', 'Elasticsearch', 'Docker', 'Git']","['Redis', 'Kubernetes', 'TensorFlow']",1 week,Contributed to XYZ project,Awarded XYZ in Biotechnology
Mark Powell,Electronics and Communication,"['machine learning', 'artificial intelligence', 'distributed systems']","['cybersecurity', 'blockchain']","['Ruby', 'Objective-C', 'C++', 'PHP', 'Swift']",['Ionic'],"['MongoDB', 'MySQL', 'Google Cloud']","['GitHub', 'AWS']",1 month,Contributed to XYZ project,Awarded XYZ in Electronics and Communication
Ryan Tucker,Electronics and Communication,"['embedded systems', 'autonomous systems']",['cybersecurity'],"['C', 'Java', 'Python', 'Shell Scripting', 'Ruby']",['Django'],"['Git', 'Docker', 'Elasticsearch', 'TensorFlow']","['Docker', 'TensorFlow']",1 week,No open-source contribution,Awarded XYZ in Electronics and Communication
Scott Rodriguez,Biotechnology,"['human-computer interaction', 'DevOps']","['artificial intelligence and machine learning', 'web and mobile development']","['TypeScript', 'Swift', 'Ruby']","['Ember.js', 'Vue.js']","['Keras', 'Jenkins']","['PyTorch', 'Azure', 'Ansible', 'TensorFlow']",2 months,Contributed to XYZ project,No achievements
Joyce Davis,Information Technology,['IoT'],"['quantum computing', 'artificial intelligence and machine learning']",['Ruby'],"['Next.js', 'Ionic']",['Azure'],"['AWS', 'GitLab', 'Docker']",1 week,No open-source contribution,No achievements
